FIPS,State,County,Area_name,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
48373,TX,Polk County,"Polk County, TX",6.1,8.0,6.3
48375,TX,Potter County,"Potter County, TX",4.0,5.3,3.3
48377,TX,Presidio County,"Presidio County, TX",10.3,13.3,10.7
48379,TX,Rains County,"Rains County, TX",5.0,7.0,4.0
48381,TX,Randall County,"Randall County, TX",3.1,4.4,2.9
48383,TX,Reagan County,"Reagan County, TX",2.0,3.4,6.2
48385,TX,Real County,"Real County, TX",3.7,9.4,5.7
48387,TX,Red River County,"Red River County, TX",6.4,10.7,5.8
48389,TX,Reeves County,"Reeves County, TX",5.7,6.8,5.3
48391,TX,Refugio County,"Refugio County, TX",3.8,6.0,6.6
48393,TX,Roberts County,"Roberts County, TX",2.5,5.1,4.5
48395,TX,Robertson County,"Robertson County, TX",4.9,8.0,5.1
48397,TX,Rockwall County,"Rockwall County, TX",4.5,6.2,3.5
48399,TX,Runnels County,"Runnels County, TX",4.7,5.5,3.9
48401,TX,Rusk County,"Rusk County, TX",4.3,6.3,5.8
48403,TX,Sabine County,"Sabine County, TX",8.9,14.6,9.4
48405,TX,San Augustine County,"San Augustine County, TX",6.1,12.1,8.9
48407,TX,San Jacinto County,"San Jacinto County, TX",5.7,8.2,6.3
48409,TX,San Patricio County,"San Patricio County, TX",5.3,7.6,7.4
48411,TX,San Saba County,"San Saba County, TX",5.4,6.2,3.4
48413,TX,Schleicher County,"Schleicher County, TX",3.3,4.0,5.2
48415,TX,Scurry County,"Scurry County, TX",4.0,4.5,5.9
48417,TX,Shackelford County,"Shackelford County, TX",2.6,3.5,3.8
48419,TX,Shelby County,"Shelby County, TX",4.7,7.3,6.0
48421,TX,Sherman County,"Sherman County, TX",3.7,4.2,2.9
48423,TX,Smith County,"Smith County, TX",4.8,7.0,4.5
48425,TX,Somervell County,"Somervell County, TX",4.5,6.6,4.8
48427,TX,Starr County,"Starr County, TX",11.3,14.5,13.3
48429,TX,Stephens County,"Stephens County, TX",3.6,5.9,5.3
48431,TX,Sterling County,"Sterling County, TX",2.8,3.5,3.9
48433,TX,Stonewall County,"Stonewall County, TX",3.3,4.4,4.4
48435,TX,Sutton County,"Sutton County, TX",2.0,4.7,7.9
48437,TX,Swisher County,"Swisher County, TX",4.4,5.9,4.2
48439,TX,Tarrant County,"Tarrant County, TX",4.8,6.5,4.0
48441,TX,Taylor County,"Taylor County, TX",3.7,5.7,3.7
48443,TX,Terrell County,"Terrell County, TX",6.7,4.7,3.9
48445,TX,Terry County,"Terry County, TX",4.1,6.5,4.8
48447,TX,Throckmorton County,"Throckmorton County, TX",3.4,5.3,3.5
48449,TX,Titus County,"Titus County, TX",4.3,7.5,6.2
48451,TX,Tom Green County,"Tom Green County, TX",4.1,5.3,4.5
48453,TX,Travis County,"Travis County, TX",4.2,5.5,3.2
48455,TX,Trinity County,"Trinity County, TX",5.4,8.2,6.1
48457,TX,Tyler County,"Tyler County, TX",5.9,10.7,7.3
48459,TX,Upshur County,"Upshur County, TX",4.2,6.7,6.4
48461,TX,Upton County,"Upton County, TX",3.1,4.0,5.3
48463,TX,Uvalde County,"Uvalde County, TX",5.7,7.9,5.3
48465,TX,Val Verde County,"Val Verde County, TX",5.8,7.6,6.2
48467,TX,Van Zandt County,"Van Zandt County, TX",4.3,6.9,4.3
48469,TX,Victoria County,"Victoria County, TX",3.8,5.6,5.4
48471,TX,Walker County,"Walker County, TX",5.2,6.9,5.2
48473,TX,Waller County,"Waller County, TX",5.0,7.0,5.6
48475,TX,Ward County,"Ward County, TX",3.9,4.8,5.7
48477,TX,Washington County,"Washington County, TX",3.9,5.6,5.1
48479,TX,Webb County,"Webb County, TX",5.3,6.5,4.9
48481,TX,Wharton County,"Wharton County, TX",4.3,6.8,5.0
48483,TX,Wheeler County,"Wheeler County, TX",2.4,4.4,4.7
48485,TX,Wichita County,"Wichita County, TX",4.8,6.1,4.3
48487,TX,Wilbarger County,"Wilbarger County, TX",3.5,6.0,4.7
48489,TX,Willacy County,"Willacy County, TX",8.8,15.8,12.2
48491,TX,Williamson County,"Williamson County, TX",4.5,5.8,3.4
48493,TX,Wilson County,"Wilson County, TX",4.6,5.5,3.9
48495,TX,Winkler County,"Winkler County, TX",3.7,5.6,7.7
48497,TX,Wise County,"Wise County, TX",4.3,6.5,4.7
48499,TX,Wood County,"Wood County, TX",5.0,7.9,5.3
48501,TX,Yoakum County,"Yoakum County, TX",3.0,4.0,4.8
48503,TX,Young County,"Young County, TX",3.4,5.7,4.4
48505,TX,Zapata County,"Zapata County, TX",5.5,6.3,10.7
48507,TX,Zavala County,"Zavala County, TX",10.6,13.5,13.9
